No,Nama Lengkap,Prodi,Jenis Kelamin,Jarak Tempat Tinggal kekampus (Km),Asal Sekolah,Tahun Lulus,SKS,Ikut Organisasi,Ikut UKM,IPK,Pekerjaan Orang Tua,Penghasilan,Tanggungan,Status Beasiswa,,,,,,,,,,,
133,FERTIANA,DIII Kebidanan | Reguler,P,Dekat,SMK N 7 BANDARLAMPUNG,2020,19,Tidak,Ikut,2.37,Wiraswasta,Tinggi,2,Tidak,,,,,,,,,,,
134,PUTRI MUSTIKA,DIII Kebidanan | Reguler,P,Dekat,SMK HAMPAR BAYDURI,2020,19,Tidak,Ikut,3.63,Wiraswasta,Tinggi,1,Tidak,,,,,,,,,,,
135,ANGGIE APRILIA PUTRI,Manajemen | Reguler,P,Jauh,SMA NEGERI 1 MUARADUA,2020,19,Tidak,Ikut,3.07,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
136,ELITA NUR WULAN,Manajemen | Reguler,P,Jauh,SMA N 1 BUMI AGUNG,2020,19,Tidak,Ikut,3.46,PNS,Tinggi,3,Tidak,,,,,,,,,,,
137,KARIM HIDAYAT,Manajemen | Reguler,L,Dekat,SMAS TMI ROUDLATUL QUR'AN METRO,2020,19,Tidak,Ikut,3.06,Petani,Sedang,2,Tidak,,,,,,,,,,,
138,FARID HAMBALI,Manajemen | Reguler,L,Dekat,MAN 1 PESAWARAN,2020,19,Tidak,Ikut,3.48,Petani,Rendah,3,Tidak,,,,,,,,,,,
139,AQILAH SALAMAH,Manajemen | Reguler,P,Jauh,SMA NEGERI 1 BLAMBANGAN UMPU,2020,19,Tidak,Ikut,3.21,Petani,Tinggi,2,Tidak,,,,,,,,,,,
140,MARCELLA SILVIANA PUTRI,Manajemen | Reguler,P,Dekat,SMAN 1 KOTAAGUNG,2020,19,Tidak,Ikut,3.68,Petani,Rendah,3,Terima,,,,,,,,,,,
141,HESTRI SETYANINGRUM,Manajemen | Reguler,P,Dekat,SMA N 2 PADANG CERMIN,2020,19,Tidak,Ikut,3.39,Wiraswasta,Tinggi,2,Tidak,,,,,,,,,,,
142,WINSI. AB,Manajemen | Reguler,P,Dekat,SMA N 1 ULU BELU,2020,19,Tidak,Ikut,3.53,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
143,DWI PUTRI PRABAWATI,Manajemen | Reguler,P,Dekat,SMAN 1 TALANGPADANG,2020,19,Tidak,Ikut,3.78,Wiraswasta,Tinggi,1,Tidak,,,,,,,,,,,
144,EVA PUTRI MAYASARI,Manajemen | Reguler,P,Jauh,SMA N 1 WAY TENONG,2020,19,Tidak,Ikut,3.19,PNS,Sedang,3,Tidak,,,,,,,,,,,
145,LAELLY MIFTAHUL HUDA,Manajemen | Reguler,P,Dekat,SMA NEGERI 1 GEDONG TATAAN,2020,19,Tidak,Ikut,3.51,PNS,Sedang,2,Tidak,,,,,,,,,,,
146,NUR LAILA FATMAWATI,Manajemen | Reguler,P,Dekat,SMK YP 96 BUKIT KEMUNING,2020,19,Tidak,Ikut,2.8,PNS,Sedang,2,Tidak,,,,,,,,,,,
147,DWI VITA SARI,Manajemen | Reguler,P,Dekat,SMK NEGERI 7 BANDAR LAMPUNG,2020,19,Tidak,Ikut,3.25,PNS,Tinggi,2,Tidak,,,,,,,,,,,
148,DIAN NITA PRATIWI,Manajemen | Reguler,P,Jauh,SMA N 1 SUNGKAI UTARA,2020,19,Tidak,Ikut,3.4,PNS,Tinggi,2,Tidak,,,,,,,,,,,
149,FEBRIANA YURESA,Manajemen | Reguler,P,Dekat,SMAN 1 CUKUH BALAK,2020,19,Tidak,Ikut,3.6,PNS,Tinggi,2,Tidak,,,,,,,,,,,
150,MITRA INDAH LESTARI,Manajemen | Reguler,P,Jauh,SEKOLAH MENENGAH KEJURUAN,2020,19,Tidak,Ikut,3.32,PNS,Tinggi,1,Tidak,,,,,,,,,,,
151,OKTA SILVIA,Manajemen | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020,19,Tidak,Ikut,3.51,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
152,SITI ROHMASARI,Manajemen | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020,19,Tidak,Ikut,3.39,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
153,RISCHI WULANDARI,Manajemen | Reguler,P,Dekat,SMAN 1 BANYUMAS,2020,19,Tidak,Ikut,3.75,Wiraswasta,Rendah,4,Terima,,,,,,,,,,,
154,SOLEHA,Manajemen | Reguler,P,Dekat,SMA NEGERI 1 WAY TENONG,2020,19,Tidak,Ikut,3.43,Wiraswasta,Rendah,3,Tidak,,,,,,,,,,,
155,RINGGIT FATMAWATI,Manajemen | Reguler,P,Jauh,SMA N 1 PARDASUKA,2020,19,Tidak,Ikut,3.39,Karyawan Swasta,Sedang,3,Tidak,,,,,,,,,,,
156,LUVDIANTRI NON TARISA,Manajemen | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020,19,Tidak,Ikut,3.07,Karyawan Swasta,Rendah,3,Tidak,,,,,,,,,,,
157,FAJAR AYU ASMORO,Manajemen | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020,19,Tidak,Ikut,3.41,Pedagang,Tinggi,3,Tidak,,,,,,,,,,,
158,UMI LAILATUN NAJA,Manajemen | Reguler,P,Jauh,SMA NEGERI 1 MUARADUA,2020,19,Ikut,Ikut,3.15,Petani,Rendah,3,Tidak,,,,,,,,,,,
159,EVILIYA NUR'AINI,Manajemen | Reguler,P,Jauh,SMA N 1 KIBANG,2020,19,Tidak,Ikut,3.11,Petani,Rendah,3,Tidak,,,,,,,,,,,
160,SYAHRUL RHOMADONI,Manajemen | Reguler,L,Dekat,SMK BUMI NUSANTARA,2020,19,Ikut,Ikut,3.06,Petani,Sedang,3,Tidak,,,,,,,,,,,
161,ZELLIA DINI MEISYA,Manajemen | Reguler,P,Jauh,SMA N 1 KOTA AGUNG,2020,19,Tidak,Ikut,2.6,Petani,Rendah,3,Tidak,,,,,,,,,,,
162,FRICILLA AMELIA PUTRI,Manajemen | Reguler,P,Dekat,SMK HAMPAR BAIDURI,2020,19,Tidak,Ikut,3.56,Wiraswasta,Tinggi,1,Tidak,,,,,,,,,,,
163,AGIL DIAH PEBRIAN,Manajemen | Reguler,L,Dekat,SMA NEGRI 1 AMBARAWA,2020,19,Tidak,Ikut,3.29,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
164,ROSITA DEWI,Manajemen | Reguler,P,Jauh,MAN 3 PALEMBANG,2020,19,Tidak,Ikut,3.26,Buruh,Rendah,2,Tidak,,,,,,,,,,,
165,FERA YUNIDA,Manajemen | Reguler,P,Jauh,SMAN 1 TUMUJAJAR,2020,19,Tidak,Ikut,3.46,PNS,Sedang,2,Tidak,,,,,,,,,,,
166,FAJAR KHOERUL ANNAM,Manajemen | Reguler,L,Jauh,SMK NEGERI 2 METRO,2020,19,Tidak,Ikut,3.48,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
167,AGIL ADI DARMAWAN,Manajemen | Reguler,L,Dekat,SMK AL QOLAM KOTA AGUNG,2020,19,Tidak,Tidak,1.64,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
168,NURUL KAUNAIN,Manajemen | Reguler,P,Dekat,SMAN 15 BANDAR LAMPUNG,2020,19,Tidak,Ikut,3.43,PNS,Sedang,2,Tidak,,,,,,,,,,,
169,NAILIL AMALIA,Manajemen | Reguler,P,Dekat,SMAN 01 PARDASUKA,2020,19,Tidak,Ikut,3.42,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
170,DESI HELEN SAPUTRI,Manajemen | Reguler,P,Dekat,SMA N 01 AIR NANINGAN,2020,19,Tidak,Ikut,3.24,Wiraswasta,Rendah,1,Tidak,,,,,,,,,,,
171,HANIFAH ROHANA,Manajemen | Reguler,P,Dekat,SMAN 1 SUKOHARJO,2020,19,Tidak,Ikut,3.42,PNS,Tinggi,2,Tidak,,,,,,,,,,,
172,ADELA INTAN ROSIYANI,Manajemen | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020,19,Tidak,Ikut,3.89,PNS,Tinggi,1,Tidak,,,,,,,,,,,
173,KRISNA PANGESTU,Manajemen | Reguler,L,Dekat,SMK MUHAMMADIYAH 3 METRO,2020,19,Tidak,Ikut,3.89,Petani,Rendah,2,Terima,,,,,,,,,,,
174,NIA NURUL FAUZIA,Manajemen | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020,19,Tidak,Ikut,3.79,Petani,Rendah,3,Terima,,,,,,,,,,,
175,SABRINA CIPTA RAVELIA,Manajemen | Reguler,P,Dekat,MAN 1 METRO,2020,19,Tidak,Ikut,3.79,Petani,Tinggi,2,Tidak,,,,,,,,,,,
176,MAGHFIROTUL HASANAH,Manajemen | Reguler,P,Dekat,SMK KH.GHALIB PRINGSEWU,2020,19,Tidak,Ikut,3.68,Petani,Rendah,3,Terima,,,,,,,,,,,
177,JAJULI MA'RUF,Manajemen | Reguler,L,Dekat,SMA MUHAMMADIYA 01 PRINGSEWU,2020,19,Tidak,Ikut,3.68,Karyawan Swasta,Tinggi,2,Tidak,,,,,,,,,,,
178,NAUVAL ALI AHMAD,Manajemen | Reguler,L,Dekat,SMA NEGERI 1 ADILUWIH,2020,19,Tidak,Ikut,3.47,Karyawan Swasta,Tinggi,3,Tidak,,,,,,,,,,,
179,SHAKYRA PUTRI AUFA RAVIQI,Manajemen | Reguler,P,Dekat,MA AL-MIZAN,2020,19,Tidak,Ikut,3.58,Karyawan Swasta,Tinggi,2,Tidak,,,,,,,,,,,
180,SYAHDIRA MEISYA,Manajemen | Reguler,P,Dekat,SMA SYUBBANUL WATHON,2020,19,Tidak,Ikut,3.53,Petani,Tinggi,1,Tidak,,,,,,,,,,,
181,MUHAMAD FAIZUL MUZAQIH,Manajemen | Reguler,L,Dekat,SMK KH GHOLIB PRINGSEWU,2020,19,Tidak,Ikut,3.1,PNS,Tinggi,1,Tidak,,,,,,,,,,,
182,ALIF KURNIA ADI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,SMA MUHAMMADIYAH PRINGSEWU,2020,19,Tidak,Ikut,3.84,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
183,NATASYA DIAN SALSABILA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMK KH.GHALIB PRINGSEWU,2020,19,Tidak,Ikut,3.53,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
184,ANNISA INDAH WARDANA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SUPM N KOTA AGUNG,2020,19,Tidak,Ikut,3.68,Petani,Tinggi,2,Tidak,,,,,,,,,,,
185,SUFYAN ALDI SAPUTRA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,SMAN 1 TALANGPADANG,2020,19,Tidak,Ikut,3.42,Karyawan Swasta,Rendah,2,Tidak,,,,,,,,,,,
186,RIZALDI IKHSANU PRATAMA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,SMK YASMIDA AMBARAWA,2020,19,Ikut,Ikut,3.89,Petani,Rendah,2,Tidak,,,,,,,,,,,
187,AGUNG ANUGRAH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Jauh,MAN 1 PRINGSEWU,2020,19,Tidak,Ikut,3.45,PNS,Tinggi,2,Tidak,,,,,,,,,,,
188,LAILA MAULIDA MARUF,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMK KESEHATAN MITRA BANGSA,2020,19,Ikut,Ikut,3.42,Petani,Rendah,1,Tidak,,,,,,,,,,,
189,YESI HARDAYANTI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA NEGERI 1 BANYUMAS,2020,19,Tidak,Ikut,3.74,PNS,Tinggi,2,Tidak,,,,,,,,,,,
190,MEILANI AYUDIASTUTI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMK YADIKA PAGELARAN,2020,19,Tidak,Ikut,3.58,PNS,Tinggi,2,Tidak,,,,,,,,,,,
191,WALYYUDDIN M. YAHYA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Jauh,SMAN 1 CANDIPURO,2020,19,Tidak,Ikut,3.68,PNS,Tinggi,4,Tidak,,,,,,,,,,,
192,TIARA MONICA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,MADRASAH ALIYAH NEGERI 1 OGAN KOMERING ULU SELATAN,2020,19,Tidak,Ikut,3.63,PNS,Tinggi,3,Tidak,,,,,,,,,,,
193,ELZA KHARISMA SAPUTRI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMK KESEHATAN HAMPAR BAIDURI KALIANDA,2020,19,Tidak,Ikut,3.89,Karyawan Swasta,Tinggi,3,Tidak,,,,,,,,,,,
194,MITA ISMIATI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMK HAMPAR BAIDURI,2020,19,Tidak,Ikut,3.68,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
195,FIRDA NUR ASFIA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA NEGERI 2 KOTA AGUNG,2020,19,Tidak,Ikut,3.79,Wiraswasta,Rendah,3,Tidak,,,,,,,,,,,
196,MELDIANA LESTARI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA 1 KEDONDONG,2020,19,Tidak,Ikut,3.29,PNS,Tinggi,3,Tidak,,,,,,,,,,,
197,UMI ZULAYKHA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA NEGERI 01 PRINGSEWU,2020,19,Tidak,Tidak,3.38,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
198,ZAKIYAH FAUZIAH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA NEGERI 1 KEDONDONG,2020,19,Tidak,Ikut,3.57,PNS,Tinggi,3,Tidak,,,,,,,,,,,
199,MAR'ATUS SHOLEHA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA XAVERIUS PRINGSEWU,2020,19,Tidak,Ikut,3.62,Petani,Rendah,3,Terima,,,,,,,,,,,
200,KURNIA SURYANINGSIH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMAN 1 BANGUNREJO,2020,19,Tidak,Ikut,3.35,Petani,Rendah,1,Tidak,,,,,,,,,,,
201,DIAH PERMATA KHOIRUNISA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMAN 1 BARADATU,2020,19,Tidak,Ikut,3.57,Petani,Rendah,2,Tidak,,,,,,,,,,,
202,RETNO NAWANG WULAN,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMAN 1 GEDONG TATAAN,2020,19,Tidak,Ikut,3.33,Petani,Sedang,2,Tidak,,,,,,,,,,,
203,HERMALIA PUTRI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMA NEGERI 2 KOTABUMI ,2020,19,Tidak,Ikut,3.48,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
204,VIARDO VARERA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,MA MA'ARIF KEPUTRAN,2020,19,Tidak,Ikut,3.63,Petani,Rendah,3,Terima,,,,,,,,,,,
205,RIZKI APRIAN SAPUTRA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,SMA N 2 KOTAAGUNG,2020,19,Tidak,Ikut,3.86,Petani,Rendah,1,Terima,,,,,,,,,,,
206,WAHIDA MARLINA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMAN 1 MENGGALA,2020,19,Tidak,Ikut,2.5,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
207,SEPTANIA SHIFA MELANI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA N 2 PRINGSEWU,2020,19,Tidak,Ikut,3.51,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
208,OKTARINI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA MUHAMMADIYAH GISTING,2020,19,Tidak,Ikut,3.44,Pensiunan,Sedang,1,Tidak,,,,,,,,,,,
209,HUMAIRA NOPRIANTI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMAN 1 PRINGSEWU,2020,19,Tidak,Ikut,3.33,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
210,POPY NADILA PUTRI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA NEGERI 1 RUMBIA,2020,19,Tidak,Ikut,3.13,Wiraswasta,Tinggi,1,Tidak,,,,,,,,,,,
211,JUWITA MUSRI'AH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMAN 1 KRUI,2020,19,Tidak,Ikut,3.29,Karyawan Swasta,Sedang,2,Tidak,,,,,,,,,,,
212,LORIZA ELVA MEYLIA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMAN 1 TALANGPADANG,2020,19,Tidak,Ikut,3.35,Karyawan Swasta,Tinggi,3,Tidak,,,,,,,,,,,
213,DENI FIRMANSYAH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Jauh,SMA NEGERI 4 KOTA TANGERANG,2020,19,Tidak,Ikut,3.56,PNS,Tinggi,2,Tidak,,,,,,,,,,,
214,LAILATUL KHASANAH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMK FARMASI KESUMA BANGSA BANDAR LAMPUNG,2020,19,Tidak,Ikut,3.3,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
215,NOVA TRIYANA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA N2 PRINGSEWU,2020,19,Tidak,Ikut,2.89,Petani,Sedang,2,Tidak,,,,,,,,,,,
216,GANES EGA PRATIWI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMK N 2 METRO,2020,19,Tidak,Ikut,2.82,PNS,Tinggi,3,Tidak,,,,,,,,,,,
217,FARHAN IQBAL WIRAYUDA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,SMA N 2 PRINGSEWU,2020,19,Tidak,Ikut,3.79,Buruh,Sedang,3,Terima,,,,,,,,,,,
218,RAHMA SAFITRI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,PONDOK PESANTREN MA AL FATAH NATAR,2020,19,Tidak,Ikut,2.65,Pedagang,Sedang,1,Tidak,,,,,,,,,,,
219,DINASTI ANGGRAINI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA NEGERI 01 PAGELARAN,2020,19,Tidak,Ikut,3.43,Pensiunan,Sedang,1,Tidak,,,,,,,,,,,
220,DELLA SYNTA SARI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMA N 1 SEKINCAU,2020,19,Tidak,Ikut,3.32,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
221,ANANDA AMALIA AFRA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA N 1 TALANG PADANG,2020,19,Tidak,Ikut,3.59,PNS,Tinggi,2,Tidak,,,,,,,,,,,
222,RIDHO CAHYADI PUTRA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,SMAN 2 GADINGREJO,2020,19,Tidak,Ikut,3.45,PNS,Tinggi,2,Tidak,,,,,,,,,,,
223,INDAH FEBRIYANTI UTAMI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA N 1 AMBARAWA,2020,19,Tidak,Ikut,3.3,PNS,Tinggi,2,Tidak,,,,,,,,,,,
224,NABILA AULIA SYFA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA N 1 GADING REJO,2020,19,Tidak,Ikut,3.76,PNS,Tinggi,2,Tidak,,,,,,,,,,,
225,ARDILA MARDHATILA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA PERINTIS 2 BANDAR LAMPUNG,2020,19,Tidak,Tidak,3.7,PNS,Tinggi,2,Tidak,,,,,,,,,,,
226,STINIMATUL KHOIRIYAH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA PERINTIS 2 BANDAR LAMPUNG,2020,19,Tidak,Ikut,3.6,PNS,Tinggi,1,Tidak,,,,,,,,,,,
227,WINDI AFRIYANTI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMAN 1 PAGELARAN,2020,19,Tidak,Ikut,3.6,PNS,Tinggi,2,Tidak,,,,,,,,,,,
228,CINDY PUSPITA SARI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMA N 1 BUKIT KEMUNING,2020,19,Tidak,Ikut,3.8,PNS,Tinggi,2,Tidak,,,,,,,,,,,
229,FETIA ELFATIANA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMAN 1 TANJUNG RAJA,2020,19,Tidak,Ikut,3.7,Wiraswasta,Sedang,4,Terima,,,,,,,,,,,
230,ANGGUN RAHMA TIRTA KUSUMA,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMAN 1 BANJAR AGUNG,2020,19,Tidak,Ikut,3.6,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
231,FIRDA ADELIA PUTRI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA NEGRI 1 PRINGSEWU,2020,19,Tidak,Ikut,3.6,Petani,Sedang,3,Tidak,,,,,,,,,,,
232,RANTINI AMALIA,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMK MUHAMMADIYAH BELITANG,2020,19,Tidak,Ikut,3.3,Wirausaha,Sedang,3,Tidak,,,,,,,,,,,
233,DEWI NURHASANAH,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA NEGERI 1 AMBARAWA,2020,19,Tidak,Ikut,3.8,Sudah Meninggal,Rendah,3,Terima,,,,,,,,,,,
234,YUNITA SARI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMK MUHAMMADIYAH METRO,2020,19,Tidak,Ikut,3.37,Pensiunan,Sedang,3,Tidak,,,,,,,,,,,
235,ISWAHYUDI,Pendidikan Bahasa Inggris | Reguler,L,Dekat,MA MA’ARIF 5,2020,19,Tidak,Ikut,3.8,Sudah Meninggal,Rendah,3,Terima,,,,,,,,,,,
236,ICHA TIARA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 1 PADANG CERMIN,2020,19,Tidak,Ikut,3.7,Petani,Rendah,3,Terima,,,,,,,,,,,
237,INTAN PUSPITA SARI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 2 GEDONG TATAAN,2020,19,Tidak,Ikut,3.7,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
238,M. JULIAN AL DZAKY,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMA NEGERI 2 KOTABUMI ,2020,19,Tidak,Ikut,3.3,Petani,Rendah,1,Tidak,,,,,,,,,,,
239,FAHMI RAHMAN FIRDAUS,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMAN 1 TANJUNG RAJA,2020,19,Tidak,Ikut,3.5,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
240,EVITA PUTRI ASARI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMAN 1 TANJUNG RAJA,2020,19,Tidak,Ikut,3.8,Wiraswasta,Sedang,3,Terima,,,,,,,,,,,
241,FADILLAH PRABANDARI,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMA NEGERI 2 KOTABUMI ,2020,19,Tidak,Ikut,3.5,PNS,Rendah,2,Tidak,,,,,,,,,,,
242,REZA FAHLEVI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMAN 1 TUMUJAJAR,2020,19,Tidak,Ikut,3.5,Pensiunan,Tinggi,2,Tidak,,,,,,,,,,,
243,PUTRI DEVASARI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMA NEGERI 2 KOTABUMI ,2020,19,Tidak,Ikut,3.7,Petani,Tinggi,1,Tidak,,,,,,,,,,,
244,MUHAMMAD SHOHIBUL A'LAM,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMA NEGERI 2 KOTABUMI ,2020,19,Tidak,Ikut,3.7,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
245,RARA ADETIA,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMAN 1 TUMUJAJAR,2020,19,Tidak,Tidak,3.8,Karyawan Swasta,Sedang,2,Tidak,,,,,,,,,,,
246,LIANA,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMAN 1 TUMUJAJAR,2020,19,Tidak,Ikut,3.8,PNS,Tinggi,1,Tidak,,,,,,,,,,,
247,TEGAR ILHAM SYAHPUTRA,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMAN 1 PAGELARAN,2020,19,Tidak,Ikut,3.7,Wiraswasta,Tinggi,2,Tidak,,,,,,,,,,,
248,NIDA NURIA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 1 PAGELARAN,2020,19,Tidak,Ikut,3,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
249,HENDRIK SEKTIAWAN,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA PELITA BANDAR LAMPUNG,2020,19,Tidak,Ikut,1.7,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
250,AMAY LEONY CITRA DEWI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMA N 1 GEDUNG MENENG,2020,19,Tidak,Ikut,3.3,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
251,DWIKI ADI SAPUTRA,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA PERINTIS 2 BANDAR LAMPUNG,2020,19,Tidak,Ikut,3.6,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
252,GITA FADILA RAHMAWATI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMAN 1 LIWA,2020,19,Tidak,Ikut,3.5,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
253,RIZKY RAHMAWATI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 1 PRINGSEWU,2020,19,Ikut,Ikut,3,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
254,HESTI NOVI SAPUTRI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA NEGERI 1 GUNUNG SUGIH,2020,19,Ikut,Ikut,3.7,Wiraswasta,Rendah,3,Terima,,,,,,,,,,,
255,RONA MUTHI JAUZAA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA NEGRI 2 KOTAAGUNG,2020,19,Ikut,Ikut,3.6,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
256,RAFI IZZA ALYUDA,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA N 1 BANDAR MATARAM,2020,20,Tidak,Ikut,3.7,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
257,INDRI RAHAYU,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMA N 1 SENDANG AGUNG,2020,20,Tidak,Ikut,3.7,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
258,DEWI INDRIYANI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMK N 7 BANDAR LAMPUNG,2020,20,Tidak,Ikut,3.4,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
